t,wind_direction,wind_direction_quality,wind_speed,wind_speed_quality,air_temperature,air_temperature_quality,dew_point,dew_point_quality,air_pressure_at_sea_level,air_pressure_at_sea_level_quality,rainfall_1,rainfall_1_quality,rainfall_1_period
1996-08-26T01:00Z,4.88692190558412,1,2.1,1,,9,,9,,9,,,
1996-08-26T01:06Z,,1,0,1,11,1,10,1,,9,,,
1996-08-26T01:15Z,4.01425727958696,1,2.1,1,,9,,9,,9,,,
1996-08-26T01:35Z,,1,0,1,,9,,9,,9,,,
1996-08-26T01:50Z,,1,0,1,11,1,10,1,,9,,,
1996-08-26T02:00Z,,1,0,1,,9,,9,,9,,,
1996-08-26T02:35Z,3.83972435438753,1,1.5,1,,9,,9,,9,,,
1996-08-26T03:00Z,,1,0,1,,9,,9,,9,,,
1996-08-26T03:07Z,5.93411945678072,1,5.1,1,11,1,10,1,,9,,,
1996-08-26T03:15Z,5.75958653158129,1,7.2,1,,9,,9,,9,,,
1996-08-26T03:25Z,5.58505360638185,1,5.7,1,11,1,10,1,,9,,,
1996-08-26T03:35Z,5.93411945678072,1,7.7,1,,9,,9,,9,,,
1996-08-26T03:49Z,5.75958653158129,1,6.2,1,10,1,10,1,,9,,,
1996-08-26T04:00Z,1.22173047639603,1,2.1,1,,9,,9,,9,,,
1996-08-26T04:15Z,,1,0,1,,9,,9,,9,,,
1996-08-26T04:35Z,,1,0,1,,9,,9,,9,,,
1996-08-26T04:48Z,2.44346095279206,1,3.6,1,10,1,8,1,,9,,,
1996-08-26T05:00Z,5.75958653158129,1,6.7,1,,9,,9,,9,,,
1996-08-26T05:15Z,4.88692190558412,1,2.6,1,,9,,9,,9,,,
1996-08-26T05:35Z,0.174532925199433,1,2.6,1,,9,,9,,9,,,
1996-08-26T05:47Z,,1,0,1,11,1,8,1,,9,,,
1996-08-26T06:00Z,,1,0,1,,9,,9,,9,,,
1996-08-26T06:15Z,3.31612557878923,1,2.6,1,,9,,9,,9,,,
1996-08-26T06:35Z,,1,0,1,,9,,9,,9,,,
1996-08-26T07:00Z,,1,0,1,,9,,9,,9,0.0028,1,3600
1996-08-26T07:35Z,,1,0,1,,9,,9,,9,,,
1996-08-26T08:35Z,,1,0,1,,9,,9,,9,,,
1996-08-26T09:35Z,,1,0,1,,9,,9,,9,,,
1996-08-26T10:35Z,,1,0,1,,9,,9,,9,,,
1996-08-26T11:35Z,,1,0,1,,9,,9,,9,,,
1996-08-26T12:35Z,,1,0,1,,9,,9,,9,,,
1996-08-26T13:35Z,,1,0,1,,9,,9,,9,,,
1996-08-26T14:15Z,,1,0,1,,9,,9,,9,,,
1996-08-26T14:35Z,,1,0,1,,9,,9,,9,,,
1996-08-26T14:53Z,,1,0,1,,9,,9,,9,,,
1996-08-26T15:00Z,,1,0,1,,9,,9,,9,5e-04,1,3600
1996-08-26T15:15Z,,1,0,1,,9,,9,,9,,,
1996-08-26T15:35Z,,1,0,1,,9,,9,,9,,,
1996-08-26T15:45Z,,1,0,1,7,1,7,1,,9,,,
1996-08-26T16:00Z,,1,0,1,,9,,9,,9,,,
1996-08-26T16:15Z,,1,0,1,,9,,9,,9,,,
1996-08-26T16:35Z,,1,0,1,,9,,9,,9,,,
1996-08-26T17:00Z,,1,0,1,,9,,9,,9,3e-04,1,3600
1996-08-26T17:15Z,,1,0,1,,9,,9,,9,,,
1996-08-26T17:35Z,2.0943951023932,1,1.5,1,,9,,9,,9,,,
1996-08-26T18:00Z,,1,0,1,,9,,9,,9,,,
1996-08-26T18:15Z,,1,0,1,,9,,9,,9,,,
1996-08-26T18:35Z,,1,0,1,,9,,9,,9,,,
1996-08-26T19:00Z,,1,0,1,,9,,9,,9,3e-04,1,3600
1996-08-26T19:15Z,,1,0,1,,9,,9,,9,,,
1996-08-26T19:35Z,,1,0,1,,9,,9,,9,,,
1996-08-26T20:00Z,,1,0,1,,9,,9,,9,3e-04,1,3600
1996-08-26T20:35Z,,1,0,1,,9,,9,,9,,,
1996-08-26T21:00Z,,1,0,1,,9,,9,,9,,,
1996-08-26T21:15Z,,1,0,1,,9,,9,,9,,,
1996-08-26T21:35Z,,1,0,1,,9,,9,,9,,,
1996-08-26T22:00Z,0.523598775598299,1,1.5,1,,9,,9,,9,,,
1996-08-26T22:15Z,,1,0,1,,9,,9,,9,,,
1996-08-26T22:35Z,2.26892802759263,1,1.5,1,,9,,9,,9,,,
1996-08-26T23:00Z,,1,0,1,,9,,9,,9,,,
1996-08-26T23:15Z,,1,0,1,10,1,7,1,,9,,,
1996-08-26T23:35Z,,1,0,1,11,1,8,1,,9,,,
1996-08-27T00:00Z,2.44346095279206,1,1.5,1,,9,,9,,9,,,
1996-08-27T01:15Z,,1,0,1,10,1,8,1,,9,,,
1996-08-27T02:15Z,,1,0,1,10,1,8,1,,9,,,
1996-08-27T02:35Z,,1,0,1,10,1,8,1,,9,,,
1996-08-27T03:35Z,,1,0,1,9,1,7,1,,9,,,
1996-08-27T04:35Z,,1,0,1,9,1,7,1,,9,,,
1996-08-27T05:35Z,,1,0,1,8,1,7,1,,9,,,
1996-08-27T06:35Z,,1,0,1,8,1,7,1,,9,,,
1996-08-27T07:35Z,,1,0,1,8,1,6,1,,9,,,
1996-08-27T08:35Z,3.14159265358979,1,1.5,1,7,1,6,1,,9,,,
1996-08-27T09:35Z,,1,0,1,8,1,7,1,,9,,,
1996-08-27T10:35Z,,1,0,1,7,1,6,1,,9,,,
1996-08-27T11:35Z,,1,0,1,7,1,5,1,,9,,,
1996-08-27T12:35Z,,1,0,1,7,1,6,1,,9,,,
1996-08-27T14:00Z,,1,0,1,7,1,6,1,,9,3e-04,1,3600
1996-08-27T14:35Z,,1,0,1,7,1,6,1,,9,,,
1996-08-27T15:35Z,,1,0,1,7,1,6,1,,9,,,
1996-08-27T16:35Z,,1,0,1,8,1,7,1,,9,,,
1996-08-27T17:35Z,,1,0,1,9,1,7,1,,9,,,
1996-08-27T19:15Z,,1,0,1,11,1,7,1,,9,,,
1996-08-27T19:35Z,,1,0,1,11,1,8,1,,9,,,
1996-08-27T20:35Z,,1,0,1,12,1,8,1,,9,,,
1996-08-27T21:35Z,6.10865238198015,1,1.5,1,14,1,7,1,,9,,,
1996-08-27T22:35Z,0.698131700797732,1,3.1,1,13,1,6,1,,9,,,
1996-08-27T23:34Z,0,1,2.6,1,15,1,7,1,,9,,,
1996-08-28T00:34Z,3.14159265358979,1,8.7,1,18,1,3,1,,9,,,
1996-08-28T02:14Z,3.66519142918809,1,7.2,1,18,1,2,1,,9,,,
1996-08-28T02:34Z,3.83972435438753,1,6.7,1,18,1,2,1,,9,,,
1996-08-28T03:34Z,3.31612557878923,1,7.7,1,17,1,2,1,,9,,,
1996-08-28T05:14Z,4.71238898038469,1,1.5,1,14,1,2,1,,9,,,
1996-08-28T05:34Z,5.93411945678072,1,3.1,1,14,1,3,1,,9,,,
1996-08-28T06:54Z,0.698131700797732,1,1.5,1,12,1,3,1,,9,,,
